timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume,ignore
2025-03-11 22:00:00,182.33,183.5,181.11,183.22,6110.793,2025-03-11 22:59:59.999,1115121.77372000,8724,3143.17200000,573959.64977000,0
2025-03-11 23:00:00,183.21,183.59,180.94,182.08,9619.313,2025-03-11 23:59:59.999,1756679.67298000,13332,5250.91000000,959176.40550000,0
2025-03-12 00:00:00,182.08,182.38,178.54,179.62,13832.202,2025-03-12 00:59:59.999,2501456.72842000,18658,7316.01800000,1322632.81138000,0
2025-03-12 01:00:00,179.64,184.37,179.29,181.94,12301.67,2025-03-12 01:59:59.999,2241523.35964000,15229,5078.90500000,925312.99723000,0
2025-03-12 02:00:00,181.93,181.93,175.98,177.51,11673.512,2025-03-12 02:59:59.999,2082022.42487000,17069,5790.49600000,1032245.99979000,0
2025-03-12 03:00:00,177.52,177.67,171.64,171.92,24019.01,2025-03-12 03:59:59.999,4186931.51805000,19583,10180.46200000,1773585.53553000,0
2025-03-12 04:00:00,171.91,172.61,169.81,170.99,22226.82,2025-03-12 04:59:59.999,3801167.26580000,24671,11212.01100000,1916810.39282000,0
2025-03-12 05:00:00,171.0,173.01,169.79,172.66,11558.45,2025-03-12 05:59:59.999,1978840.41888000,11879,5669.45900000,971195.30033000,0
2025-03-12 06:00:00,172.7,172.88,170.15,171.13,5423.257,2025-03-12 06:59:59.999,930561.42233000,8829,2632.04500000,451552.64289000,0
2025-03-12 07:00:00,171.14,175.9,171.0,175.04,17383.271,2025-03-12 07:59:59.999,3029021.73776000,19773,9277.53600000,1617138.45544000,0
2025-03-12 08:00:00,175.04,177.3,172.78,175.49,24566.033,2025-03-12 08:59:59.999,4310697.04801000,29688,13998.07200000,2459152.06370000,0
2025-03-12 09:00:00,175.49,177.99,171.42,172.32,22053.401,2025-03-12 09:59:59.999,3834492.29140000,28638,11144.80100000,1934297.97448000,0
2025-03-12 10:00:00,172.31,173.08,170.52,171.55,9388.206,2025-03-12 10:59:59.999,1610419.03094000,14597,5037.14600000,864455.27417000,0
2025-03-12 11:00:00,171.56,173.99,171.51,173.73,17243.847,2025-03-12 11:59:59.999,2983940.67681000,15889,9790.09800000,1694365.70916000,0
2025-03-12 12:00:00,173.76,181.0,172.69,178.37,58161.511,2025-03-12 12:59:59.999,10304431.84147000,69232,30921.50400000,5483054.69205000,0
2025-03-12 13:00:00,178.38,178.76,169.85,171.02,41150.307,2025-03-12 13:59:59.999,7150982.56699000,42509,19033.09900000,3302393.01648000,0
2025-03-12 14:00:00,170.98,171.71,165.54,166.53,34876.5,2025-03-12 14:59:59.999,5875638.88982000,37623,16934.20100000,2851207.74496000,0
2025-03-12 15:00:00,166.54,169.28,163.85,169.19,30269.689,2025-03-12 15:59:59.999,5030791.40420000,33480,16080.24700000,2673289.66681000,0
2025-03-12 16:00:00,169.19,171.69,168.16,171.32,17477.178,2025-03-12 16:59:59.999,2971601.36701000,24125,8137.55800000,1383853.25660000,0
2025-03-12 17:00:00,171.33,173.67,168.58,168.85,17682.833,2025-03-12 17:59:59.999,3026143.53058000,22032,6270.58800000,1072401.73559000,0
2025-03-12 18:00:00,168.85,171.14,168.58,169.75,12374.853,2025-03-12 18:59:59.999,2100649.56898000,19246,4632.89800000,786306.70019000,0
2025-03-12 19:00:00,169.73,171.28,168.19,170.18,9395.276,2025-03-12 19:59:59.999,1594804.85677000,10368,4595.07400000,780439.34510000,0
2025-03-12 20:00:00,170.14,172.63,169.46,172.37,6255.837,2025-03-12 20:59:59.999,1072561.47118000,7614,3168.66700000,543386.01553000,0
2025-03-12 21:00:00,172.4,174.37,172.28,173.15,7557.793,2025-03-12 21:59:59.999,1310807.31568000,6059,3001.28500000,520378.84672000,0
2025-03-12 22:00:00,173.16,174.66,173.16,174.19,8105.602,2025-03-12 22:59:59.999,1409694.10827000,7869,3012.78000000,524069.49108000,0
2025-03-12 23:00:00,174.16,175.18,173.24,174.83,6182.039,2025-03-12 23:59:59.999,1077087.96487000,8234,3407.05400000,593802.49451000,0
2025-03-13 00:00:00,174.79,175.36,172.93,173.41,6468.111,2025-03-13 00:59:59.999,1125886.07184000,11916,2746.90700000,478064.38949000,0
2025-03-13 01:00:00,173.42,175.71,172.47,174.82,5747.021,2025-03-13 01:59:59.999,999982.29166000,9002,3030.36100000,527250.48763000,0
2025-03-13 02:00:00,174.88,176.25,171.96,172.43,10431.453,2025-03-13 02:59:59.999,1811649.33194000,11281,3767.65900000,655118.00546000,0
2025-03-13 03:00:00,172.44,173.62,171.78,172.0,5247.09,2025-03-13 03:59:59.999,904932.45785000,8754,3127.62100000,539371.09293000,0
2025-03-13 04:00:00,172.03,172.66,170.25,171.06,3789.856,2025-03-13 04:59:59.999,648847.41751000,6853,1780.09600000,305007.02012000,0
2025-03-13 05:00:00,171.03,172.58,170.06,170.76,4055.954,2025-03-13 05:59:59.999,694186.37070000,6080,2446.91200000,418847.28505000,0
2025-03-13 06:00:00,170.77,171.55,169.28,171.54,5255.97,2025-03-13 06:59:59.999,895869.82948000,6739,2441.04200000,416038.73763000,0
2025-03-13 07:00:00,171.56,172.68,170.61,171.5,9713.806,2025-03-13 07:59:59.999,1666912.62246000,10189,4065.85000000,697811.76131000,0
2025-03-13 08:00:00,171.5,172.7,168.73,171.68,11685.899,2025-03-13 08:59:59.999,1991997.00643000,12579,6186.71300000,1055753.90991000,0
2025-03-13 09:00:00,171.65,174.11,171.65,173.68,8419.826,2025-03-13 09:59:59.999,1455715.05473000,11385,4845.44900000,837705.62453000,0
2025-03-13 10:00:00,173.67,174.7,171.64,174.33,10517.475,2025-03-13 10:59:59.999,1822867.06288000,14300,5784.87200000,1002524.40978000,0
2025-03-13 11:00:00,174.31,175.09,172.95,174.23,20642.112,2025-03-13 11:59:59.999,3589701.28613000,25484,10939.17300000,1902776.04189000,0
2025-03-13 12:00:00,174.24,176.26,171.17,172.07,30648.538,2025-03-13 12:59:59.999,5320399.21143000,39456,16308.14600000,2832632.89098000,0
2025-03-13 13:00:00,172.08,173.77,168.78,169.4,28680.834,2025-03-13 13:59:59.999,4932380.54642000,33632,14628.59200000,2516849.39003000,0
2025-03-13 14:00:00,169.39,172.73,168.78,171.73,16596.81,2025-03-13 14:59:59.999,2842546.07548000,22212,7583.91900000,1298995.02238000,0
2025-03-13 15:00:00,171.75,172.21,168.36,169.2,21885.695,2025-03-13 15:59:59.999,3717397.44567000,31219,11133.11400000,1891326.73389000,0
2025-03-13 16:00:00,169.2,169.74,166.69,167.65,25084.147,2025-03-13 16:59:59.999,4220695.28238000,32179,12135.55900000,2042475.33992000,0
2025-03-13 17:00:00,167.64,168.45,164.11,164.39,18590.562,2025-03-13 17:59:59.999,3085556.14832000,20902,8091.51400000,1342947.91607000,0
2025-03-13 18:00:00,164.42,167.58,164.18,164.84,9880.879,2025-03-13 18:59:59.999,1637045.23005000,12338,5594.34200000,927037.00367000,0
2025-03-13 19:00:00,164.84,165.29,160.63,161.11,18922.211,2025-03-13 19:59:59.999,3068423.02427000,17255,10016.26100000,1623932.58010000,0
2025-03-13 20:00:00,161.11,163.17,160.91,160.98,5862.97,2025-03-13 20:59:59.999,949636.05461000,7845,2875.52900000,466152.08805000,0
2025-03-13 21:00:00,160.98,162.51,160.13,162.51,6528.084,2025-03-13 21:59:59.999,1050483.31296000,5522,3343.18800000,538165.77887000,0
2025-03-13 22:00:00,162.51,164.72,161.69,164.3,7723.222,2025-03-13 22:59:59.999,1263161.32852000,6425,3434.12600000,560829.85572000,0
2025-03-13 23:00:00,164.31,164.98,162.28,162.81,5941.643,2025-03-13 23:59:59.999,971047.72241000,6524,2510.28100000,409909.58875000,0
2025-03-14 00:00:00,162.84,164.53,162.06,163.72,5483.383,2025-03-14 00:59:59.999,894567.22439000,7561,2999.08200000,489539.05623000,0
2025-03-14 01:00:00,163.74,165.25,162.06,164.28,5096.556,2025-03-14 01:59:59.999,833768.82812000,6447,2533.87200000,414256.94638000,0
2025-03-14 02:00:00,164.27,167.41,163.9,167.37,7749.591,2025-03-14 02:59:59.999,1285794.88010000,7956,4614.04600000,765764.86482000,0
2025-03-14 03:00:00,167.38,167.4,164.91,166.23,8734.515,2025-03-14 03:59:59.999,1449738.94908000,6470,3329.60400000,552482.12027000,0
2025-03-14 04:00:00,166.22,167.55,165.41,165.54,5555.987,2025-03-14 04:59:59.999,924372.97876000,4549,2433.51000000,404753.36358000,0
2025-03-14 05:00:00,165.55,165.75,164.57,165.22,6604.12,2025-03-14 05:59:59.999,1090097.30634000,5809,3108.86800000,513279.10929000,0
2025-03-14 06:00:00,165.23,165.91,163.33,164.0,13444.933,2025-03-14 06:59:59.999,2208841.16942000,8021,7389.04800000,1214165.61363000,0
2025-03-14 07:00:00,163.99,165.41,163.17,163.94,4583.411,2025-03-14 07:59:59.999,750916.59705000,5275,1623.00000000,266056.46482000,0
2025-03-14 08:00:00,163.93,168.13,163.73,166.26,12166.852,2025-03-14 08:59:59.999,2023523.77939000,11796,5784.75600000,961800.14562000,0
2025-03-14 09:00:00,166.28,167.94,166.0,166.77,9782.502,2025-03-14 09:59:59.999,1634195.88523000,7904,5895.87900000,984727.33412000,0
2025-03-14 10:00:00,166.81,168.58,165.53,166.87,7612.979,2025-03-14 10:59:59.999,1275426.65161000,7829,5008.67400000,839691.42227000,0
2025-03-14 11:00:00,166.87,167.41,166.51,167.14,2820.134,2025-03-14 11:59:59.999,471072.28115000,4079,1591.12400000,265794.07869000,0
2025-03-14 12:00:00,167.12,168.2,165.84,167.98,9028.758,2025-03-14 12:59:59.999,1507668.50479000,5916,3987.02500000,665959.92151000,0
2025-03-14 13:00:00,167.97,170.03,167.07,169.17,14274.754,2025-03-14 13:59:59.999,2410197.79764000,12302,8415.06400000,1421795.53207000,0
2025-03-14 14:00:00,169.17,171.74,167.09,171.08,26299.427,2025-03-14 14:59:59.999,4459998.84649000,28289,14251.69800000,2417822.40457000,0
