timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume,ignore
2025-03-11 22:00:00,0.3935,0.3972,0.3902,0.3944,5033030.19,2025-03-11 22:59:59.999,1978047.34621400,7667,2271955.45000000,892978.78653700,0
2025-03-11 23:00:00,0.3945,0.3947,0.3862,0.3904,4144277.53,2025-03-11 23:59:59.999,1614613.69015600,8349,1797680.36000000,700428.59933400,0
2025-03-12 00:00:00,0.3904,0.3918,0.3854,0.389,4572280.25,2025-03-12 00:59:59.999,1779371.81918100,8190,2615053.99000000,1018256.44221900,0
2025-03-12 01:00:00,0.3891,0.3953,0.3871,0.3904,5166005.56,2025-03-12 01:59:59.999,2018329.72152700,10450,3087193.74000000,1206301.55635600,0
2025-03-12 02:00:00,0.3905,0.3913,0.376,0.3775,6530409.75,2025-03-12 02:59:59.999,2495496.53468100,13190,2689252.92000000,1026179.99472900,0
2025-03-12 03:00:00,0.3776,0.3825,0.3722,0.3731,8347908.81,2025-03-12 03:59:59.999,3145941.56639300,12384,3033326.17000000,1145311.03863900,0
2025-03-12 04:00:00,0.3732,0.3741,0.366,0.3714,8781713.87,2025-03-12 04:59:59.999,3248008.66351200,13826,4050561.77000000,1500262.06852800,0
2025-03-12 05:00:00,0.3714,0.373,0.3684,0.3689,4906929.56,2025-03-12 05:59:59.999,1817337.13773800,9793,2749309.69000000,1018734.26079900,0
2025-03-12 06:00:00,0.3689,0.3711,0.3641,0.3676,5400127.34,2025-03-12 06:59:59.999,1982540.53325300,10661,2599849.26000000,955288.69034300,0
2025-03-12 07:00:00,0.3675,0.3753,0.3669,0.3736,8838368.5,2025-03-12 07:59:59.999,3283864.48189600,18038,3955435.38000000,1470341.10612200,0
2025-03-12 08:00:00,0.3735,0.3811,0.3695,0.377,15712337.86,2025-03-12 08:59:59.999,5901294.25812800,28361,7578167.49000000,2845516.29444300,0
2025-03-12 09:00:00,0.3771,0.3817,0.369,0.3702,8756514.1,2025-03-12 09:59:59.999,3279817.84529200,16042,4731215.90000000,1773214.27616300,0
2025-03-12 10:00:00,0.3703,0.3719,0.3668,0.3692,5097052.81,2025-03-12 10:59:59.999,1881858.71028300,8825,2349297.39000000,867370.81799400,0
2025-03-12 11:00:00,0.3693,0.3745,0.3692,0.3745,5370818.71,2025-03-12 11:59:59.999,2000337.69164400,10755,2810401.85000000,1046835.85687100,0
2025-03-12 12:00:00,0.3745,0.3893,0.3725,0.3804,23666114.16,2025-03-12 12:59:59.999,9031109.49104200,36067,12327377.08000000,4708640.17915400,0
2025-03-12 13:00:00,0.3804,0.3819,0.3669,0.3692,13123670.98,2025-03-12 13:59:59.999,4898865.09350400,24367,5736661.84000000,2141179.20104300,0
2025-03-12 14:00:00,0.369,0.372,0.3583,0.3592,11030089.74,2025-03-12 14:59:59.999,4020411.44559700,20559,5050187.46000000,1844256.92205400,0
2025-03-12 15:00:00,0.3592,0.3628,0.3554,0.3621,9940096.32,2025-03-12 15:59:59.999,3571857.04826200,18840,5731868.27000000,2060259.83868600,0
2025-03-12 16:00:00,0.3621,0.3704,0.3599,0.3655,7348398.68,2025-03-12 16:59:59.999,2679791.83765700,14959,4524092.32000000,1650165.77595500,0
2025-03-12 17:00:00,0.3655,0.3743,0.3648,0.3661,6569415.82,2025-03-12 17:59:59.999,2431984.93302500,11976,3856865.82000000,1428676.59613500,0
2025-03-12 18:00:00,0.3662,0.3719,0.3651,0.3658,3351205.63,2025-03-12 18:59:59.999,1234961.26573600,8351,1647160.02000000,607319.08484300,0
2025-03-12 19:00:00,0.3659,0.3695,0.364,0.3671,2765862.64,2025-03-12 19:59:59.999,1014468.95733800,7213,1384034.26000000,507873.95280400,0
2025-03-12 20:00:00,0.3669,0.3727,0.3657,0.3709,2929165.34,2025-03-12 20:59:59.999,1082394.74625300,7544,1653838.06000000,611008.96132800,0
2025-03-12 21:00:00,0.3708,0.3758,0.37,0.3729,3122980.57,2025-03-12 21:59:59.999,1165273.51695100,7463,1496783.77000000,558540.81255100,0
2025-03-12 22:00:00,0.3729,0.3754,0.3709,0.3712,2607434.62,2025-03-12 22:59:59.999,972846.66514700,5633,1124600.97000000,419571.75826300,0
2025-03-12 23:00:00,0.3711,0.3716,0.3683,0.37,2437486.97,2025-03-12 23:59:59.999,902003.84965500,6393,1157370.37000000,428341.62385300,0
2025-03-13 00:00:00,0.3701,0.3717,0.3653,0.3657,3615887.57,2025-03-13 00:59:59.999,1331779.70799300,8498,1402643.36000000,516547.39350600,0
2025-03-13 01:00:00,0.3658,0.3687,0.3612,0.3674,4653742.21,2025-03-13 01:59:59.999,1698060.55662500,10741,2232452.01000000,815327.04422800,0
2025-03-13 02:00:00,0.3675,0.3707,0.3633,0.3637,4263864.3,2025-03-13 02:59:59.999,1564629.65914300,8432,2307650.30000000,846595.42069300,0
2025-03-13 03:00:00,0.3638,0.37,0.3638,0.368,2881981.77,2025-03-13 03:59:59.999,1058979.00473600,5997,1353814.83000000,497221.77121300,0
2025-03-13 04:00:00,0.3679,0.3721,0.3614,0.3625,4000235.49,2025-03-13 04:59:59.999,1467753.39136500,8499,1737609.83000000,638889.50777300,0
2025-03-13 05:00:00,0.3625,0.3682,0.358,0.3584,10434835.44,2025-03-13 05:59:59.999,3785208.87891200,13609,5620948.53000000,2043467.27745100,0
2025-03-13 06:00:00,0.3583,0.3605,0.355,0.3589,4044541.18,2025-03-13 06:59:59.999,1446817.76718500,9236,1737094.97000000,622118.86159800,0
2025-03-13 07:00:00,0.3589,0.3606,0.3564,0.358,4331558.1,2025-03-13 07:59:59.999,1552283.10905100,7184,2106914.33000000,754686.33439400,0
2025-03-13 08:00:00,0.3579,0.3622,0.353,0.3587,6726905.78,2025-03-13 08:59:59.999,2403044.97585700,13005,3132157.03000000,1118935.29715700,0
2025-03-13 09:00:00,0.3587,0.3686,0.3586,0.3683,5373097.81,2025-03-13 09:59:59.999,1953272.38742400,10750,3116523.62000000,1132733.92314300,0
2025-03-13 10:00:00,0.3682,0.3682,0.3631,0.3661,3340458.83,2025-03-13 10:59:59.999,1221977.27402100,7769,1595428.76000000,583784.06525500,0
2025-03-13 11:00:00,0.366,0.3726,0.3642,0.3725,5166395.87,2025-03-13 11:59:59.999,1905368.58964800,9177,2914271.21000000,1076431.32107900,0
2025-03-13 12:00:00,0.3725,0.3747,0.3625,0.3637,14229515.12,2025-03-13 12:59:59.999,5243740.30625800,19528,6052653.89000000,2232018.44752100,0
2025-03-13 13:00:00,0.3637,0.3675,0.3517,0.353,9961328.08,2025-03-13 13:59:59.999,3579752.65092400,17517,4322538.66000000,1553660.71782400,0
2025-03-13 14:00:00,0.3529,0.3568,0.3506,0.3549,8331817.85,2025-03-13 14:59:59.999,2951904.40857200,15550,4314659.34000000,1529358.48133200,0
2025-03-13 15:00:00,0.355,0.356,0.3463,0.3482,10326644.99,2025-03-13 15:59:59.999,3613592.62461100,18671,3986679.05000000,1396555.61196000,0
